time,lat,lon,alt
2024-01-01 11:18:00,-90.0,14.188876997287682,-6355940.605748141
2024-01-01 11:19:00,-90.0,16.726826307421387,-6356303.671840467
2024-01-01 11:20:00,-90.0,19.24598603444105,-6356668.989880532
2024-01-01 11:21:00,90.0,21.76194960632181,-6356469.902284512
2024-01-01 11:22:00,90.0,24.290261625270826,-6356105.584222897
2024-01-01 11:23:00,90.0,26.84668015775088,-6355744.514428189
2024-01-01 11:24:00,90.0,29.447440446589116,-6355388.50695106
2024-01-01 11:25:00,90.0,32.10952054584114,-6355039.350566185
2024-01-01 11:26:00,90.0,34.85090721472417,-6354698.79958826
2024-01-01 11:27:00,90.0,37.69085647811128,-6354368.564882899
2024-01-01 11:28:00,90.0,40.6501368408043,-6354050.3051247895
2024-01-01 11:29:00,90.0,43.75123310281205,-6353745.618353602
2024-01-01 11:30:00,90.0,47.01847364749084,-6353456.033873466
2024-01-01 11:31:00,90.0,50.47802227228029,-6353183.004539896
2024-01-01 11:32:00,90.0,54.1576458663384,-6352927.899471892
2024-01-01 11:33:00,90.0,58.08613175172075,-6352691.997224968
2024-01-01 11:34:00,90.0,62.292187951960805,-6352476.4794547865
2024-01-01 11:35:00,90.0,66.80262922091042,-6352282.425097952
2024-01-01 11:36:00,90.0,71.63965927581029,-6352110.8050922975
2024-01-01 11:37:00,90.0,76.81715197053616,-6351962.477655028
2024-01-01 11:38:00,90.0,82.3360699099886,-6351838.184133741
2024-01-01 11:39:00,90.0,88.1795763455496,-6351738.545442412
2024-01-01 11:40:00,90.0,94.30894257447669,-6351664.059091465
2024-01-01 11:41:00,90.0,100.66180424638253,-6351615.096819024
2024-01-01 11:42:00,90.0,107.15428625754696,-6351591.90282821
2024-01-01 11:43:00,90.0,113.68766126565886,-6351594.592634046
2024-01-01 11:44:00,90.0,120.15863986675888,-6351623.152521851
2024-01-01 11:45:00,90.0,126.47085319434666,-6351677.439618044
2024-01-01 11:46:00,90.0,132.54454052031096,-6351757.182573091
2024-01-01 11:47:00,90.0,138.32227196717096,-6351861.982855183
2024-01-01 11:48:00,90.0,143.77016388941163,-6351991.316652074
2024-01-01 11:49:00,90.0,148.87550390234523,-6352144.537377184
2024-01-01 11:50:00,90.0,153.6423731048282,-6352320.878774106
2024-01-01 11:51:00,90.0,158.0867499139617,-6352519.458612156
2024-01-01 11:52:00,90.0,162.23208035769989,-6352739.282962731
